trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.5, 'e': 0.8116358451311733}",35,24,-1.1438497045680744,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.8086986272690151}",35,0,-138.1765663973923,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.8057345518567718}",30,0,-94.66507973608317,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.8027434400011483}",20,0,-48.77990102246146,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.7997251080452836}",20,0,-69.47487514518544,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.7966793674120023}",25,0,-26.684151787420898,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.79360602444051}",35,0,-162.97867158087143,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.7905048802161991}",20,0,-84.68814232360982,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.7873757303932086}",20,5,-63.51078169635411,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.7842183650093599}",25,10,-0.7070133377207033,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.7810325682930679}",25,0,-55.52430151536146,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.7778181184618009}",30,0,-190.10392903772217,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
148,False,"{'a': 0.5, 'e': 0.7745747875116358}",25,9,-28.8651656429964,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.7713023409974258}",20,0,-124.52180037003409,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.7680005378030681}",30,4,-35.728093552635514,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.7646691299013235}",20,0,2.286626291720375,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.7613078621026041}",25,0,-115.45844987032392,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.7579164717921092}",25,0,-29.939040304741606,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.7544946886546426}",25,0,-143.5596773181496,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
